"system_object_id";"global_id";"Name";"Longitude_WGS84";"Latitude_WGS84";"Street";"AdmArea";"District";"RouteNumbers";"OperatingOrgName";"EntryState";"Pavilion";"Direction";"ID";"StationName";"geoData";
"9345";"1723645";"«Дудкино», Киевское шоссе (от центра) (1)";"37.4520964794615";"55.6354921195698";"Киевское шоссе";"Новомосковский административный округ";"поселение Московский";"А1002; А844; А707; А802; А611; А420П; А304П; А890";"ГУП «Мосгортранс»";"активна";"да";"от центра";"9345";"Дудкино";"{type=Point, coordinates=[37.4520965102835, 55.6354917505601]}";
"9346";"1723646";"«Румянцево», Киевское шоссе (в центр)";"37.4335018431652";"55.6294317802821";"Киевское шоссе";"Новомосковский административный округ";"поселение Московский";"А611; А707; А863";"ГУП «Мосгортранс»";"активна";"да";"в центр";"9346";"Румянцево";"{type=Point, coordinates=[37.4335018745417, 55.6294314112099]}";
"10711";"1723647";"«Метро Университет», Ломоносовский проспект (от центра) (3)";"37.538163134975";"55.6925386722263";"Ломоносовский проспект";"Юго-Западный административный округ";"Гагаринский район";"А67К; АА; Тб49";"ООО «Праймсайт»";"активна";"да";"от центра";"10711";"Метро Университет";"{type=Point, coordinates=[37.5381631653989, 55.6925383036067]}";
"10712";"1723648";"«Метро Университет (к/ст, выс.)», улица Николая Коперника (от центра)";"37.5395017362765";"55.6927512158915";"улица Николая Коперника";"Юго-Западный административный округ";"Гагаринский район";"АА";"";"активна";"нет";"от центра";"10712";"Метро Университет (к/ст, выс.)";"{type=Point, coordinates=[37.5395017665504, 55.6927508473444]}";
"10713";"1723649";"«Детский муз. театр», улица Николая Коперника (от центра)";"37.5446790759245";"55.6956985767001";"улица Николая Коперника";"Юго-Западный административный округ";"Гагаринский район";"АА";"ГУП «Мосгортранс»";"активна";"да";"от центра";"10713";"Детский муз. театр";"{type=Point, coordinates=[37.5446791060334, 55.695698207943]}";
"9809";"1723650";"«Карачарово (к/ст)», 1-я Карачаровская улица (в центр)";"37.7593866757332";"55.7367001603677";"1-я Карачаровская улица";"Юго-Восточный административный округ";"Нижегородский район";"А859; А59; А759; А859";"";"активна";"нет";"в центр";"9809";"Карачарово (к/ст)";"{type=Point, coordinates=[37.7593867063284, 55.7366997919272]}";
"9810";"1723651";"«Ясный пр. (к/ст)», Ясный проезд (в центр)";"37.6190662943088";"55.8762387638136";"Ясный проезд";"Северо-Восточный административный округ";"район Южное Медведково";"А628; А649; А61";"";"активна";"нет";"в центр";"9810";"Ясный пр. (к/ст)";"{type=Point, coordinates=[37.6190663250289, 55.8762383962151]}";
"9811";"1723652";"«Братцево (к/ст)», бульвар Яна Райниса (в центр)";"37.4041978010668";"55.8501291656053";"бульвар Яна Райниса";"Северо-Западный административный округ";"район Южное Тушино";"А173; А62; А06";"ГУП «Мосгортранс»";"активна";"да";"в центр";"9811";"Братцево (к/ст)";"{type=Point, coordinates=[37.4041978322465, 55.8501287980094]}";
"9813";"1723653";"«Метро Водный стадион (к/ст)», Кронштадтский бульвар (в центр)";"37.4870641030824";"55.840652422268";"Кронштадтский бульвар";"Северный административный округ";"Головинский район";"А123; А123; А65; А70; А698; А72; А65к";"ГУП «Мосгортранс»";"активна";"да";"в центр";"9813";"Метро Водный стадион (к/ст)";"{type=Point, coordinates=[37.4870641350553, 55.8406520546758]}";
"9817";"1723654";"«Метро Братиславская (к/ст)», Мячковский бульвар (от центра)";"37.7502029326395";"55.658964023118";"Мячковский бульвар";"Юго-Восточный административный округ";"район Марьино";"А10; А30; А55; А658; А749; А81; А853";"ГУП «Мосгортранс»";"активна";"да";"от центра";"9817";"Метро Братиславская (к/ст)";"{type=Point, coordinates=[37.7502029631377, 55.6589636540327]}";
"10579";"1723655";"«2-й Кожуховский пр., 9», 2-й Кожуховский проезд (в центр)";"37.6647020811603";"55.7067059342119";"2-й Кожуховский проезд";"Южный административный округ";"Даниловский район";"А142; А186; А44; А291; А193";"";"активна";"нет";"в центр";"10579";"2-й Кожуховский пр., 9";"{type=Point, coordinates=[37.6647021122685, 55.7067055656813]}";
"9845";"1723657";"«Ул. Акад. Янгеля (к/ст)», Чертановская улица (от центра)";"37.5872780799321";"55.5959177731826";"Чертановская улица";"Южный административный округ";"район Чертаново Южное";"А118; А147; А147К; А28; А3Н; А643; А674; А680; А682; А819; А831; А864; А01";"";"активна";"нет";"от центра";"9845";"Ул. Акад. Янгеля (к/ст)";"{type=Point, coordinates=[37.5872781105698, 55.5959174037832]}";
"9847";"1723659";"«Ул. Павла Корчагина (к/ст)», площадь Академика Люльки (от центра)";"37.6631589376509";"55.8209805610307";"площадь Академика Люльки";"Северо-Восточный административный округ";"Алексеевский район";"А286";"";"активна";"нет";"от центра";"9847";"Ул. Павла Корчагина (к/ст)";"{type=Point, coordinates=[37.6631589685432, 55.8209801932292]}";
"9848";"1723660";"«Якорная ул. (к/ст)», Якорная улица (в центр)";"37.6829241052524";"55.6873599516153";"Якорная улица";"Южный административный округ";"район Нагатинский Затон";"А216; А219";"";"активна";"нет";"в центр";"9848";"Якорная ул. (к/ст)";"{type=Point, coordinates=[37.6829241359173, 55.6873595827911]}";
"9400";"1723662";"«Школа», Большая Бутовская улица (в центр)";"37.5804309712427";"55.5443462285091";"Большая Бутовская улица";"Юго-Западный административный округ";"район Южное Бутово";"А94; А249; А108; А737";"ГУП «Мосгортранс»";"активна";"да";"в центр";"9400";"Школа";"{type=Point, coordinates=[37.5804310013741, 55.544345858824]}";
"9401";"1723663";"«Ст. Бутово», Вокзальная площадь (в центр)";"37.5716247821794";"55.5419191566982";"Вокзальная площадь";"Юго-Западный административный округ";"район Южное Бутово";"А108; А18; А249; А737; А813; А94";"ГУП «Мосгортранс»";"активна";"да";"в центр";"9401";"Ст. Бутово";"{type=Point, coordinates=[37.571624811758, 55.5419187872984]}";
"9402";"1723664";"«Ст. Бутово», Вокзальная площадь (в центр) (1)";"37.5720115685205";"55.542320584148";"Вокзальная площадь";"Юго-Западный административный округ";"район Южное Бутово";"А94; А835";"ГУП «Мосгортранс»";"активна";"да";"в центр";"9402";"Ст. Бутово";"{type=Point, coordinates=[37.5720115984689, 55.5423202145493]}";
"9403";"1723665";"«Ст. Бутово», Вокзальная площадь (от центра) (1)";"37.5724270828245";"55.5418239579547";"Вокзальная площадь";"Юго-Западный административный округ";"район Южное Бутово";"А108; А18; А249; А737; А813; А835";"";"активна";"нет";"от центра";"9403";"Ст. Бутово";"{type=Point, coordinates=[37.5724271124025, 55.5418235882857]}";
"9406";"1723666";"«Ул. Короленко - Социальный Университет», 1-я Боевская улица (от центра)";"37.6916539884391";"55.7931337609187";"1-я Боевская улица";"Восточный административный округ";"район Сокольники";"А78";"";"активна";"нет";"от центра";"9406";"Ул. Короленко - Социальный Университет";"{type=Point, coordinates=[37.6916540188499, 55.7931333925203]}";
"9343";"1723667";"«Ул. Чугунные Ворота», улица Чугунные Ворота (в центр)";"37.8078789050422";"55.6914599782633";"улица Чугунные Ворота";"Юго-Восточный административный округ";"район Выхино-Жулебино";"А169; А169КФ";"ГУП «Мосгортранс»";"активна";"да";"в центр";"9343";"Ул. Чугунные Ворота";"{type=Point, coordinates=[37.8078789357411, 55.6914596092411]}";
"9410";"1723668";"«Б. Матросский пер.», улица Матросская Тишина (в центр)";"37.69456258054";"55.7901889204096";"улица Матросская Тишина";"Восточный административный округ";"район Сокольники";"А78";"";"активна";"нет";"в центр";"9410";"Б. Матросский пер.";"{type=Point, coordinates=[37.6945626110174, 55.7901885520898]}";
"9411";"1723669";"«З-д СВАРЗ», улица Матросская Тишина (в центр)";"37.6920957482219";"55.7883362265599";"улица Матросская Тишина";"Восточный административный округ";"район Сокольники";"А75; А78; А716";"";"активна";"нет";"в центр";"9411";"З-д СВАРЗ";"{type=Point, coordinates=[37.6920957788556, 55.7883358580868]}";
"9412";"1723670";"«Сабурово», Каширское шоссе (в центр) (4)";"37.69520840233";"55.6370247700547";"Каширское шоссе";"Южный административный округ";"район Москворечье-Сабурово";"А740";"ГУП «Мосгортранс»";"активна";"да";"в центр";"9412";"Сабурово";"{type=Point, coordinates=[37.6952084329243, 55.6370244008036]}";
"9413";"1723671";"«Газопровод», Калужское шоссе (от центра)";"37.4675864212228";"55.5817236663834";"Калужское шоссе";"Новомосковский административный округ";"поселение Сосенское";"А503; А398; А433; А508; А512; А513; А514; А515; А526; А531; А577; А600; А804; А882; А891; А895";"";"активна";"нет";"от центра";"9413";"Газопровод";"{type=Point, coordinates=[37.46758645281, 55.5817232968381]}";
"9414";"1723672";"«Газопровод», Калужское шоссе (в центр)";"37.468367267805";"55.581763871964";"Калужское шоссе";"Новомосковский административный округ";"поселение Сосенское";"А503; А398; А433; А508; А512; А513; А514; А515; А526; А531; А577; А600; А804; А891; А895";"";"активна";"нет";"в центр";"9414";"Газопровод";"{type=Point, coordinates=[37.4683672989801, 55.5817635028812]}";
"9415";"1723673";"«ДРСУ - 1», Калужское шоссе (от центра)";"37.444900271559";"55.565788962678";"Калужское шоссе";"Новомосковский административный округ";"поселение Сосенское";"А503; А433; А508; А512; А513; А514; А515; А526; А531; А577; А804; А891";"ГУП «Мосгортранс»";"активна";"да";"от центра";"9415";"ДРСУ - 1";"{type=Point, coordinates=[37.4449003022551, 55.5657885932895]}";
"10588";"1723674";"«Строительный колледж № 26», Цимлянская улица (от центра)";"37.7677458474295";"55.6689961449834";"Цимлянская улица";"Юго-Восточный административный округ";"район Люблино";"А242; А657; А35";"ГУП «Мосгортранс»";"активна";"да";"от центра";"10588";"Строительный колледж № 26";"{type=Point, coordinates=[37.7677458775597, 55.6689957761727]}";
"10590";"1723675";"«Духовской пер.», Малая Тульская улица (от центра)";"37.6172717674529";"55.7047772313112";"Малая Тульская улица";"Южный административный округ";"Донской район";"А121; А826; А41";"ГУП «Мосгортранс»";"активна";"да";"от центра";"10590";"Духовской пер.";"{type=Point, coordinates=[37.6172717980013, 55.7047768625521]}";
"10592";"1723676";"«Метро Ясенево (пос.)», улица Паустовского (от центра)";"37.5338460864844";"55.6063098533447";"улица Паустовского";"Юго-Западный административный округ";"район Ясенево";"А202";"ГУП «Мосгортранс»";"активна";"да";"от центра";"10592";"Метро Ясенево (пос.)";"{type=Point, coordinates=[37.533846117133, 55.6063094842669]}";
"10593";"1723677";"«Северный бульв.», Северный бульвар (от центра) (1)";"37.6203196216328";"55.8687849131427";"Северный бульвар";"Северо-Восточный административный округ";"район Отрадное";"А124; А605; А605Ф; А692; А71; А880; АН6";"ГУП «Мосгортранс»";"активна";"да";"от центра";"10593";"Северный бульв.";"{type=Point, coordinates=[37.6203196526974, 55.8687845456299]}";
